route_id,route_shor,route_long,group,length,Grp_Avg_Wa
FS,S,Franklin Avenue Shuttle,S,"7159.497","95.150"
GS,S,42 St Shuttle,S,"2293.392","95.150"
"1","1",Broadway - 7 Avenue Local,"123","77385.042","87.920"
"3","3",7 Avenue Express,"123","95921.260","87.920"
"2","2",7 Avenue Express,"123","134113.648","87.920"
"5","5",Lexington Avenue Express,"456","147156.389","87.520"
"4","4",Lexington Avenue Express,"456","105856.423","87.520"
"7","7",Flushing Express/Local,"7","54381.968","88.660"
"6","6",Lexington Avenue Express/Local,"456","79083.532","87.520"
A,A,8 Avenue Express,ACE,"183969.499","82.490"
C,C,8 Avenue Local,ACE,"98214.629","82.490"
B,B,6 Avenue Express,BDFM,"127317.570","79.260"
E,E,8 Avenue Local,ACE,"81745.712","82.490"
D,D,6 Avenue Express,BDFM,"135354.787","79.260"
G,G,Brooklyn-Queens Crosstown,G,"55462.052","82.820"
F,F,Queens Blvd Express/ 6 Av Local,BDFM,"143727.974","79.260"
H,S,Rockaway Park Shuttle,S,"14901.075","95.150"
J,J Z,Nassau St Local/Express,JZ,"70323.102","82.020"
M,M,Queens Blvd-6th Ave/ Myrtle Local,BDFM,"96105.908","79.260"
L,L,14 St-Canarsie Local,L,"53486.006","92.040"
N,N,Broadway Express,NQR,"107042.637","80.370"
Q,Q,Broadway Express,NQR,"105709.659","80.370"
R,R,Broadway Local,NQR,"114091.594","80.370"
SI,SIR,Staten Island Railway,SIR,"75700.886",
